Campaign_ID,Customer_ID,Campaign_Date,Campaign_Type,Offer_Type,Offer_Value,Contact_Channel,Customer_Contacted,Customer_Response,Offer_Accepted,Retained_After_Offer,Retention_Cost,Follow_Up_Date
CMP-709164,NXT-104958,2023-08-10,"High Value Customer",Discount,21.65,"App Notification",Yes,Interested,Yes,Yes,51.12,2023-08-16
CMP-715888,NXT-108474,2024-05-07,"High Value Customer",Discount,34.87,WhatsApp,Yes,Interested,Yes,Yes,35.54,2024-05-24
CMP-702605,NXT-101442,2025-10-26,"At Risk","Device Upgrade",12.25,Phone,Yes,"Requested More Info",No,No,1.37,2025-11-24
CMP-709074,NXT-104916,2024-03-12,"Loyalty Campaign","Free Data",12.50,"App Notification",Yes,"Not Interested",No,No,2.19,2024-04-10
CMP-718724,NXT-109952,2025-02-11,"Loyalty Campaign",Discount,NULL,Email,Yes,Interested,No,No,NULL,2025-03-01
CMP-719232,NXT-110202,2024-12-15,"Loyalty Campaign","Free Data",14.60,Email,Yes,"Not Interested",No,Yes,0.69,2024-12-20
CMP-702473,NXT-101365,2024-12-05,"Network Recovery","Bonus Minutes",107.00,"App Notification",Yes,"Requested More Info",No,No,0.09,2024-12-19
CMP-727462,NXT-114603,2024-10-19,"At Risk",Discount,18.32,SMS,Yes,"No Response",No,No,1.52,2024-10-26
CMP-708526,NXT-104630,2024-08-26,"High Value Customer","Reduced Monthly Fee",30.34,WhatsApp,Yes,"Requested More Info",No,Yes,0.42,2024-09-13
CMP-712749,NXT-106824,2025-04-12,"At Risk","Device Upgrade",3.59,"App Notification",No,,No,Yes,2.05,2025-04-28
CMP-714850,NXT-107914,2025-10-11,"Network Recovery","Reduced Monthly Fee",NULL,Phone,Yes,"No Response",No,No,2.94,2025-11-04
CMP-700957,NXT-100525,2023-09-11,"High Value Customer","Bonus Minutes",354.00,"App Notification",Yes,Interested,No,Yes,0.99,2023-10-04
CMP-711189,NXT-105991,2025-04-02,"Loyalty Campaign","Contract Upgrade",57.25,WhatsApp,Yes,"No Response",No,No,0.99,2025-04-16
CMP-712501,NXT-106703,2024-10-11,"High Value Customer","Device Upgrade",56.93,"App Notification",Yes,Interested,YES,Yes,39.48,2024-10-30
CMP-705545,NXT-103037,2025-07-29,"win back","Free Data",16.10,Phone,No,,NO,No,0.96,2025-08-15
CMP-713332,NXT-107112,2024-07-18,"Loyalty Campaign","Free Upgrade",72.51,"App Notification",Yes,Interested,Yes,Yes,56.96,2024-08-13
CMP-704493,NXT-102485,2025-03-21,"Win Back","Free Upgrade",73.69,WhatsApp,Yes,"Not Interested",No,Yes,0.18,2025-04-14
CMP-709036,NXT-104895,2024-04-20,"Loyalty Campaign",Discount,26.47,SMS,Yes,Interested,Yes,No,54.92,2024-05-08
CMP-719815,NXT-110529,2025-11-04,"High Value Customer",Discount,17.95,SMS,Yes,Interested,Yes,Yes,NULL,2025-11-10
CMP-727758,NXT-114770,2025-06-13,"Win Back","Reduced Monthly Fee",19.71,Email,Yes,"No Response",No,No,2.66,2025-07-01
CMP-724613,NXT-113119,2023-07-19,"Contract Renewal","Reduced Monthly Fee",8.33,WhatsApp,Yes,Interested,No,No,0.77,2023-08-05
CMP-701142,NXT-100628,2023-06-18,"Loyalty Campaign","Contract Upgrade",17.12,WhatsApp,Yes,"Not Interested",No,Yes,0.27,2023-07-06
CMP-722933,NXT-112176,2025-05-13,"Network Recovery","Bonus Minutes",384.00,WhatsApp,Yes,"No Response",No,No,2.24,2025-05-28
CMP-704881,NXT-102692,2025-01-08,"high value customer","Device Upgrade",41.35,"App Notification",Yes,Interested,Yes,Yes,27.13,2025-01-22
CMP-713136,NXT-107018,2023-12-29,"NETWORK RECOVERY","Bonus Minutes",348.00,SMS,Yes,Interested,Yes,No,50.23,2024-01-04
CMP-727369,NXT-114547,2024-10-12,"High Value Customer",Discount,29.89,WhatsApp,No,,No,No,2.94,2024-10-15
CMP-718625,NXT-109895,2024-04-04,"Loyalty Campaign","Free Data",15.10,Phone,Yes,,No,Yes,2.72,2024-04-22
CMP-714296,NXT-107615,2025-02-01,"Win Back","Free Upgrade",62.83,WhatsApp,Yes,"No Response",No,Yes,1.91,2025-02-07
CMP-703753,NXT-102079,2025-10-06,"Loyalty Campaign",Discount,38.65,"App Notification",yes,"No Response",No,No,0.88,2025-10-26
CMP-725835,NXT-113734,2025-02-17,"Network Recovery",Discount,30.81,Email,Yes,"Requested More Info",No,No,2.61,2025-03-12
CMP-707498,NXT-104096,2025-10-05,"High Value Customer","DEVICE UPGRADE",73.31,SMS,No,,No,No,2.01,2025-11-03
CMP-712713,NXT-106812,2025-04-27,"win back","Free Data",15.20,SMS,Yes,"Not Interested",No,No,2.05,2025-05-03
CMP-700624,NXT-100321,2024-08-24,"Win Back","Contract Upgrade",88.98,Phone,Yes,"Requested More Info",No,Yes,2.49,2024-09-13
