Interaction_ID,Customer_ID,Interaction_Date,Support_Channel,Issue_Type,Issue_Category,Resolution_Status,Resolution_Time_Hours,Customer_Satisfaction_After_Interaction,Escalated,Complaint_Flag
INT-500731,NXT-100186,2025-11-20,Phone,"Network Problem",Network,Escalated,58.70,14.00,Yes,Yes
INT-515225,NXT-103854,2024-07-13,"Live Chat","Technical Problem",Technical,Resolved,0.20,64.00,No,No
INT-510272,NXT-102580,2024-06-19,Phone,"Billing Issue",Billing,Escalated,6.90,27.00,Yes,No
INT-552501,NXT-113353,2024-11-04,Store,"Network Problem",Network,Resolved,0.50,63.00,No,Yes
INT-519992,NXT-105046,2024-12-05,Email,"Data Problem",Technical,Escalated,47.30,17.00,Yes,No
INT-526730,NXT-106751,2024-11-29,Phone,"Cancellation Request",Retention,Resolved,0.20,96.00,No,No
INT-526450,NXT-106684,2023-11-25,Phone,"Data Problem",Technical,UNRESOLVED,30.50,54.00,NULL,Yes
INT-538511,NXT-109737,2025-06-22,"Live Chat","Billing Issue",Billing,Resolved,14.00,68.00,No,Yes
INT-558252,NXT-114820,2024-09-15,Email,"Billing Issue",Billing,Unresolved,0.70,36.00,No,Yes
INT-538108,NXT-109624,2025-05-07,App,Other,Other,Pending,5.30,58.00,No,No
INT-517946,NXT-104548,2024-05-06,App,"Technical Problem",Technical,Unresolved,0.80,79.00,No,No
INT-558822,NXT-114969,2025-09-25,"Live Chat","Account Issue",Account,Resolved,11.60,58.00,No,Yes
INT-519191,NXT-104860,2025-10-08,Store,"Billing Issue",Billing,Resolved,4.50,NULL,No,No
INT-548317,NXT-112260,2025-12-04,Store,"Technical Problem",Technical,Pending,4.90,NULL,No,No
INT-537789,NXT-109539,2025-09-01,App,"Device Problem",Technical,Resolved,0.90,57.00,No,No
INT-541257,NXT-110456,2024-03-09,Email,Other,Other,Resolved,3.00,100.00,No,No
INT-545758,NXT-111591,2024-08-05,Email,"Technical Problem",Technical,Resolved,0.80,66.00,No,No
INT-502031,NXT-100521,2025-05-25,"Live Chat",Other,Other,Resolved,12.50,36.00,Yes,Yes
INT-547585,NXT-112061,2025-09-02,Phone,"Technical Problem",Technical,Resolved,11.20,83.00,No,No
INT-548824,NXT-112392,2024-08-09,"Live Chat","Data Problem",Technical,Resolved,2.10,43.00,No,No
INT-551035,NXT-112979,2025-02-11,"Social Media","Billing Issue",Billing,Escalated,12.40,1.00,Yes,No
INT-507731,NXT-101937,2025-09-13,"Live Chat","Technical Problem",Technical,Resolved,4.50,NULL,No,No
INT-525126,NXT-106359,2024-09-24,App,"DATA PROBLEM",Technical,Resolved,NULL,95.00,No,YES
INT-511025,NXT-102771,2025-01-16,Phone,"Technical Problem",Technical,Resolved,1.60,21.00,No,No
INT-541098,NXT-110414,2025-09-13,Store,"Service Activation",Account,Resolved,5.10,100.00,No,No
INT-503160,NXT-100810,2025-10-05,Email,"Technical Problem",Technical,Resolved,5.10,39.00,No,No
INT-515460,NXT-103914,2025-01-19,"Live Chat","Billing Issue",Billing,Resolved,9.60,72.00,No,No
INT-540785,NXT-110326,2024-08-12,Phone,"Cancellation Request",Retention,Unresolved,1.10,38.00,No,No
INT-544302,NXT-111226,2024-08-18,App,"Device Problem",Technical,Resolved,0.20,46.00,No,No
INT-548331,NXT-112265,2025-07-24,"Live Chat","Device Problem",Technical,Pending,2.40,57.00,NULL,Yes
INT-536405,NXT-109188,2024-11-30,Phone,"Data Problem",Technical,Escalated,18.30,32.00,Yes,No
INT-530492,NXT-107679,2025-09-16,"Live Chat","Device Problem",Technical,Unresolved,17.90,58.00,No,No
INT-529469,NXT-107414,2025-11-30,"Live Chat","Device Problem",Technical,Resolved,2.40,62.00,No,No
INT-548427,NXT-112292,2025-06-30,"Social Media","TECHNICAL PROBLEM",Technical,Resolved,9.70,58.00,No,No
INT-520279,NXT-105118,2024-09-26,Email,"Billing Issue",Billing,Resolved,1.80,NULL,No,No
INT-507551,NXT-101894,2024-06-26,App,"Device Problem",Technical,Resolved,2.50,63.00,No,No
INT-534391,NXT-108686,2025-09-10,"Social Media","Billing Issue",Billing,Pending,10.30,26.00,No,Yes
INT-555483,NXT-114129,2025-03-27,"Live Chat","Technical Problem",Technical,Pending,34.00,48.00,No,No
INT-519274,NXT-104876,2025-04-01,"Social Media","Network Problem",Network,Escalated,1.80,1.00,Yes,No
INT-530011,NXT-107555,2024-04-22,Phone,"Network Problem",Network,Resolved,12.80,48.00,No,Yes
INT-557053,NXT-114514,2025-12-13,Phone,"Service Activation",Account,Resolved,22.90,91.00,No,Yes
INT-500007,NXT-100003,2024-06-27,Phone,"Technical Problem",Technical,Resolved,7.90,32.00,No,Yes
INT-552815,NXT-113428,2025-07-31,App,"Network Problem",Network,Resolved,0.50,68.00,No,Yes
INT-534503,NXT-108714,2025-05-23,Store,"Account Issue",Account,Resolved,5.00,77.00,No,Yes
INT-555027,NXT-114014,2023-04-03,App,"Cancellation Request",Retention,Pending,27.90,28.00,No,No
INT-546515,NXT-111782,2025-02-06,Phone,"Network Problem",Network,Resolved,12.00,50.00,No,No
INT-523341,NXT-105888,2024-10-20,Store,"Account Issue",Account,Escalated,21.60,31.00,Yes,No
INT-513091,NXT-103314,2024-10-12,Phone,"Network Problem",Network,Unresolved,33.30,45.00,No,Yes
INT-550726,NXT-112886,2025-07-02,Phone,"Data Problem",Technical,Resolved,1.50,43.00,No,No
INT-535048,NXT-108845,2025-02-26,"Live Chat","Technical Problem",Technical,Resolved,9.80,39.00,No,No
INT-519424,NXT-104911,2025-02-18,App,"Network Problem",Network,Resolved,1.20,52.00,No,no
INT-508389,NXT-102091,2025-06-11,App,"Network Problem",Network,Resolved,0.30,37.00,No,Yes
INT-514131,NXT-103581,2025-01-05,App,"Technical Problem",Technical,Unresolved,NULL,17.00,No,No
INT-556148,NXT-114295,2024-03-01,Email,"Technical Problem",Technical,Resolved,0.20,59.00,No,Yes
INT-548381,NXT-112279,2025-04-24,"Live Chat","Account Issue",Account,Resolved,2.30,57.00,No,No
INT-500315,NXT-100075,2025-04-23,Phone,"Network Problem",Network,Escalated,94.70,44.00,Yes,Yes
INT-502387,NXT-100620,2025-06-22,"Live Chat","Network Problem",Network,Resolved,0.60,79.00,No,Yes
INT-544847,NXT-111364,2025-04-15,App,"Network Problem",Network,Resolved,2.20,92.00,No,Yes
INT-519597,NXT-104947,2023-05-19,Phone,"Cancellation Request",Retention,Resolved,30.10,44.00,No,No
INT-509680,NXT-102419,2025-07-09,Phone,"Service Activation",Account,Resolved,10.10,75.00,No,No
INT-547346,NXT-111997,2025-05-18,App,"Network Problem",Network,Resolved,2.60,62.00,No,Yes
INT-505246,NXT-101326,2025-05-04,Phone,"Data Problem",Technical,Resolved,3.30,61.00,No,No
INT-509531,NXT-102385,2024-07-20,App,"Billing Issue",Billing,Escalated,4.30,36.00,Yes,No
INT-505384,NXT-101357,2025-05-01,App,"Network Problem",Network,Pending,15.10,18.00,No,No
INT-543403,NXT-111000,2025-04-18,Email,"Technical Problem",Technical,Escalated,1.40,NULL,NULL,No
INT-532140,NXT-108101,2024-10-04,Store,"Billing Issue",Billing,Resolved,NULL,74.00,No,Yes
INT-539846,NXT-110083,2024-06-02,App,"Technical Problem",Technical,Resolved,5.00,68.00,No,No
INT-515978,NXT-104036,2025-08-25,App,"Device Problem",Technical,Unresolved,14.50,41.00,No,No
INT-525842,NXT-106536,2025-11-26,"Live Chat","Technical Problem",Technical,Resolved,1.60,89.00,No,No
INT-555974,NXT-114250,2025-08-22,Phone,"Billing Issue",Billing,Resolved,0.80,80.00,No,Yes
INT-531112,NXT-107834,2025-05-07,Phone,"Account Issue",Account,Unresolved,33.70,40.00,No,No
INT-506165,NXT-101557,2025-01-01,"Social Media","Network Problem",Network,Pending,83.40,21.00,No,Yes
INT-530920,NXT-107786,2025-03-22,App,"Billing Issue",Billing,Unresolved,12.30,34.00,No,No
INT-531460,NXT-107915,2025-11-23,Phone,"Network Problem",Network,Resolved,6.50,46.00,No,Yes
INT-524273,NXT-106116,2023-07-30,Phone,"Billing Issue",Billing,Resolved,2.90,64.00,No,No
INT-556308,NXT-114334,2025-01-09,Phone,"Data Problem",Technical,Escalated,33.20,13.00,Yes,No
INT-518480,NXT-104676,2025-10-10,App,Other,Other,Resolved,1.00,48.00,No,No
INT-506750,NXT-101689,2025-06-27,Phone,"Billing Issue",Billing,Resolved,1.00,59.00,No,No
INT-520496,NXT-105168,2025-10-17,Store,"Technical Problem",Technical,Resolved,6.10,NULL,No,No
INT-506298,NXT-101586,2025-11-01,"Live Chat","Cancellation Request",Retention,Resolved,5.70,44.00,No,No
INT-502035,NXT-100523,2024-07-10,"Live Chat","Technical Problem",Technical,Escalated,44.20,36.00,Yes,No
INT-540932,NXT-110365,2024-11-01,App,"Account Issue",Account,Pending,3.00,1.00,No,No
INT-557108,NXT-114528,2025-08-29,Phone,"Network Problem",Network,Escalated,37.00,63.00,Yes,No
INT-542081,NXT-110662,2023-08-24,"Live Chat","Cancellation Request",Retention,Resolved,2.60,63.00,No,No
INT-537555,NXT-109478,2024-06-13,Phone,"Network Problem",Network,Resolved,8.80,56.00,No,Yes
INT-506846,NXT-101710,2024-05-28,"Live Chat","Data Problem",Technical,Resolved,2.80,74.00,No,No
INT-535923,NXT-109053,2024-03-13,"Social Media",Other,Other,Resolved,5.10,48.00,No,No
INT-550419,NXT-112812,2025-09-10,App,"Billing Issue",Billing,Resolved,9.20,61.00,Yes,Yes
INT-530737,NXT-107742,2024-04-09,App,"Network Problem",Network,Escalated,48.90,41.00,Yes,No
INT-534219,NXT-108637,2024-09-24,Phone,"Account Issue",Account,Resolved,2.10,NULL,No,No
INT-528489,NXT-107181,2024-12-29,"Social Media","Account Issue",Account,Resolved,0.80,86.00,No,Yes
INT-553404,NXT-113590,2023-12-06,App,"Technical Problem",Technical,Resolved,2.70,52.00,No,No
INT-537667,NXT-109510,2025-07-04,Phone,"Network Problem",Network,Resolved,2.80,58.00,No,No
INT-532014,NXT-108062,2025-10-15,Email,"Account Issue",Account,Resolved,4.70,87.00,No,NO
INT-519322,NXT-104886,2025-09-27,"Social Media","Cancellation Request",Retention,Pending,35.30,42.00,No,NO
INT-550968,NXT-112960,2025-08-12,"Live Chat","Service Activation",Account,Escalated,28.30,42.00,Yes,No
INT-545284,NXT-111478,2024-10-08,"Live Chat","Account Issue",Account,Resolved,4.40,NULL,No,Yes
INT-501642,NXT-100416,2025-03-27,Phone,"Technical Problem",Technical,Resolved,4.10,98.00,No,No
INT-503106,NXT-100796,2024-01-21,"Live Chat","Technical Problem",Technical,Resolved,13.90,52.00,No,No
INT-503330,NXT-100855,2024-05-17,"Social Media","Billing Issue",Billing,Resolved,20.80,77.00,No,Yes
INT-523830,NXT-106007,2024-07-06,"Social Media",Other,Other,Pending,7.40,14.00,No,No
INT-522060,NXT-105573,2024-08-11,"Live Chat",Other,Other,Resolved,2.10,97.00,No,No
INT-541026,NXT-110388,2025-03-25,"Live Chat","Account Issue",Account,Resolved,5.30,90.00,No,No
INT-526003,NXT-106577,2024-12-22,Phone,"Service Activation",Account,Resolved,15.60,81.00,No,Yes
INT-540697,NXT-110301,2024-04-16,"Live Chat","Cancellation Request",Retention,Resolved,0.20,97.00,No,Yes
INT-536380,NXT-109183,2024-09-25,App,"Device Problem",Technical,Pending,20.80,24.00,No,No
INT-534645,NXT-108746,2025-05-08,"Live Chat","Technical Problem",Technical,Resolved,5.60,55.00,No,No
INT-519375,NXT-104899,2025-12-24,Phone,"Network Problem",Network,Resolved,3.00,NULL,No,No
INT-541983,NXT-110633,2025-03-10,Phone,"Device Problem",Technical,unresolved,14.80,38.00,No,No
INT-512549,NXT-103152,2025-11-05,Store,"Technical Problem",Technical,Resolved,1.50,35.00,No,No
INT-507415,NXT-101856,2025-04-03,"Live Chat","Network Problem",Network,Pending,1.50,37.00,No,No
INT-519821,NXT-105005,2024-09-08,App,"Network Problem",Network,Resolved,3.40,63.00,No,Yes
INT-504104,NXT-101042,2023-05-03,Phone,"Network Problem",Network,Resolved,2.20,42.00,No,Yes
INT-555509,NXT-114134,2025-06-10,"Live Chat","Account Issue",Account,Resolved,5.70,NULL,No,No
INT-513950,NXT-103537,2025-05-15,Phone,"Data Problem",Technical,Resolved,7.00,79.00,No,No
INT-544767,NXT-111341,2024-03-02,"Live Chat","Service Activation",Account,Resolved,1.20,76.00,No,Yes
INT-553513,NXT-113621,2025-03-04,App,"Device Problem",Technical,Resolved,29.90,80.00,No,No
INT-535762,NXT-109023,2025-01-13,App,"Network Problem",Network,Escalated,11.20,18.00,Yes,No
INT-528124,NXT-107093,2025-10-26,Phone,"Data Problem",Technical,Pending,21.90,51.00,No,No
INT-527011,NXT-106815,2025-01-23,Email,"Network Problem",Network,Escalated,0.90,38.00,Yes,Yes
INT-505554,NXT-101398,2025-08-08,App,"Account Issue",Account,Resolved,11.20,79.00,No,No
INT-507732,NXT-101937,2024-04-13,App,"Billing Issue",Billing,Escalated,21.40,35.00,Yes,Yes
INT-556734,NXT-114438,2023-10-30,"Live Chat","Account Issue",Account,Unresolved,16.20,43.00,No,No
INT-544652,NXT-111313,2025-12-18,"Live Chat","Billing Issue",Billing,Resolved,1.20,82.00,No,Yes
INT-541884,NXT-110605,2024-02-22,"Live Chat","Service Activation",Account,Resolved,2.20,74.00,No,No
INT-547337,NXT-111996,2025-11-13,Phone,"Technical Problem",Technical,Unresolved,0.90,65.00,No,No
INT-516504,NXT-104178,2025-07-07,Phone,"Device Problem",Technical,Escalated,27.70,25.00,Yes,No
INT-547798,NXT-112115,2023-06-17,App,"Device Problem",Technical,Escalated,26.40,41.00,Yes,No
INT-519343,NXT-104892,2024-08-18,App,"Billing Issue",Billing,Resolved,0.90,60.00,No,No
INT-541064,NXT-110401,2024-08-12,Phone,"Network Problem",Network,Resolved,7.00,52.00,No,Yes
INT-525133,NXT-106360,2024-12-28,"Social Media","Network Problem",Network,Resolved,0.30,72.00,No,No
INT-545166,NXT-111446,2023-11-29,"Live Chat","Technical Problem",Technical,Pending,17.40,23.00,No,Yes
INT-504828,NXT-101229,2024-12-02,App,"Account Issue",Account,Pending,4.00,40.00,No,No
INT-503546,NXT-100901,2024-09-21,"Live Chat","service activation",Account,Resolved,1.10,52.00,No,No
INT-541955,NXT-110624,2025-06-28,"Live Chat","Billing Issue",Billing,Resolved,13.80,31.00,No,Yes
INT-554707,NXT-113933,2025-11-09,App,"Account Issue",Account,Unresolved,34.10,19.00,No,No
INT-547023,NXT-111921,2023-04-05,Phone,"Data Problem",Technical,Resolved,4.10,77.00,No,No
INT-535264,NXT-108901,2025-01-31,"Live Chat","Cancellation Request",Retention,Resolved,5.00,NULL,No,Yes
INT-539781,NXT-110064,2025-04-07,"Live Chat",Other,Other,Pending,17.80,13.00,No,No
INT-551815,NXT-113179,2023-09-18,Phone,"Service Activation",Account,Pending,33.40,38.00,No,Yes
INT-547744,NXT-112100,2025-02-03,Store,"Network Problem",Network,Resolved,9.40,41.00,No,Yes
INT-535749,NXT-109021,2024-06-16,Phone,"Cancellation Request",Retention,Resolved,4.00,39.00,No,Yes
INT-514604,NXT-103707,2025-12-13,Phone,"Cancellation Request",Retention,Unresolved,14.30,61.00,No,Yes
INT-516312,NXT-104125,2025-10-15,"Live Chat","Data Problem",Technical,Resolved,0.90,89.00,No,No
INT-515702,NXT-103971,2025-02-25,App,"technical problem",Technical,Pending,NULL,34.00,No,No
INT-553814,NXT-113697,2025-11-26,App,"Network Problem",Network,Resolved,24.60,44.00,No,No
INT-527642,NXT-106965,2024-12-08,"Social Media","Service Activation",Account,Resolved,0.20,100.00,No,No
INT-542713,NXT-110818,2024-01-04,Store,"Data Problem",Technical,Resolved,NULL,5.00,No,No
INT-513411,NXT-103394,2025-06-22,Phone,"Technical Problem",Technical,Escalated,17.20,53.00,Yes,No
INT-551945,NXT-113203,2025-10-14,"Live Chat","Service Activation",Account,Pending,43.80,29.00,No,No
INT-510872,NXT-102733,2023-12-01,"Live Chat","Cancellation Request",Retention,Pending,3.20,20.00,NULL,No
INT-528029,NXT-107070,2025-07-07,Store,"Account Issue",Account,Resolved,4.20,66.00,No,No
INT-541259,NXT-110457,2025-03-21,"Live Chat","SERVICE ACTIVATION",Account,Resolved,2.00,61.00,No,No
INT-512708,NXT-103200,2024-12-17,Phone,"Account Issue",Account,Resolved,0.60,35.00,No,No
INT-556672,NXT-114424,2024-04-17,App,"Account Issue",Account,Escalated,14.40,17.00,Yes,No
INT-537003,NXT-109331,2025-08-04,Email,"Technical Problem",Technical,Resolved,0.50,32.00,No,No
INT-512049,NXT-103017,2025-03-28,Phone,"Billing Issue",Billing,Resolved,6.90,75.00,No,No
INT-553652,NXT-113662,2025-03-02,App,"Billing Issue",Billing,Escalated,13.40,24.00,Yes,Yes
INT-538970,NXT-109856,2024-08-18,Phone,"Data Problem",Technical,Resolved,1.90,20.00,No,No
INT-507170,NXT-101786,2023-11-13,App,"Billing Issue",Billing,Resolved,2.40,100.00,No,Yes
INT-508120,NXT-102031,2024-11-10,App,"Network Problem",Network,Escalated,19.30,40.00,Yes,No
INT-543899,NXT-111119,2025-09-10,"Live Chat","Account Issue",Account,Escalated,1.80,33.00,Yes,No
INT-552634,NXT-113392,2025-11-07,Email,"Data Problem",Technical,Pending,7.70,21.00,No,No
INT-525153,NXT-106368,2024-09-30,App,"Service Activation",Account,Unresolved,59.40,19.00,Yes,Yes
INT-529883,NXT-107526,2025-05-30,"Live Chat","Data Problem",Technical,Pending,25.30,12.00,No,No
INT-523590,NXT-105954,2024-07-08,"Live Chat","Cancellation Request",Retention,Resolved,0.20,48.00,No,No
INT-546042,NXT-111665,2025-06-28,App,"Account Issue",Account,Escalated,15.70,38.00,Yes,No
INT-501233,NXT-100308,2025-05-20,Phone,"Account Issue",Account,Resolved,2.70,62.00,No,No
INT-519030,NXT-104818,2025-05-29,App,"Technical Problem",Technical,Resolved,9.50,42.00,No,No
INT-544249,NXT-111208,2023-09-08,"Live Chat","Network Problem",Network,Escalated,79.90,22.00,Yes,Yes
INT-536194,NXT-109134,2025-06-20,"Live Chat","Technical Problem",Technical,Resolved,17.00,100.00,No,No
INT-547874,NXT-112137,2024-10-25,"Live Chat","Cancellation Request",Retention,Resolved,23.70,33.00,No,Yes
INT-515682,NXT-103967,2024-07-05,App,"Service Activation",Account,Resolved,15.30,54.00,No,No
INT-541510,NXT-110522,2024-08-01,"Live Chat","Billing Issue",Billing,Resolved,NULL,43.00,No,No
INT-528412,NXT-107164,2023-12-06,"Social Media","ACCOUNT ISSUE",Account,Resolved,2.80,95.00,No,No
INT-520109,NXT-105078,2025-05-25,App,"Network Problem",Network,Pending,NULL,9.00,No,No
INT-512038,NXT-103017,2025-04-20,App,"Device Problem",Technical,Unresolved,12.10,7.00,No,No
INT-523102,NXT-105836,2024-04-30,"Social Media","Technical Problem",Technical,Pending,1.40,21.00,No,No
INT-542853,NXT-110854,2024-08-24,"Live Chat","Service Activation",Account,Resolved,0.20,59.00,NULL,No
INT-536484,NXT-109205,2025-10-31,"Live Chat","Billing Issue",Billing,Resolved,0.20,54.00,No,Yes
INT-503448,NXT-100879,2025-10-18,"Social Media","Device Problem",Technical,Resolved,0.20,67.00,No,No
INT-500212,NXT-100047,2024-03-07,App,"Cancellation Request",Retention,Escalated,1.10,47.00,Yes,No
INT-522095,NXT-105585,2025-10-11,App,"Network Problem",Network,Escalated,0.90,33.00,Yes,No
INT-516487,NXT-104173,2025-08-21,"Social Media","Data Problem",Technical,Resolved,1.80,70.00,No,No
INT-525592,NXT-106480,2025-09-25,Phone,"Cancellation Request",Retention,Resolved,0.70,98.00,No,No
INT-553004,NXT-113478,2024-10-19,"Live Chat","Billing Issue",Billing,Escalated,10.10,21.00,Yes,Yes
INT-524623,NXT-106217,2025-08-12,"Social Media","Technical Problem",Technical,Resolved,1.60,91.00,Yes,No
INT-539850,NXT-110084,2025-02-18,Phone,"Data Problem",Technical,Unresolved,13.70,25.00,No,no
INT-558527,NXT-114890,2025-05-19,Phone,"Device Problem",Technical,PENDING,NULL,17.00,No,No
INT-526612,NXT-106722,2025-07-03,"Live Chat","Service Activation",Account,Resolved,15.10,83.00,NULL,No
INT-552393,NXT-113323,2025-07-09,Phone,"Service Activation",Account,Resolved,29.70,47.00,Yes,No
INT-549729,NXT-112629,2023-10-14,Store,"Billing Issue",Billing,Resolved,1.00,35.00,No,Yes
INT-530616,NXT-107708,2025-02-09,App,"Network Problem",Network,Escalated,3.20,1.00,Yes,Yes
INT-526086,NXT-106600,2025-12-20,"Live Chat","Device Problem",Technical,Unresolved,13.30,18.00,No,No
INT-525557,NXT-106473,2024-01-07,Phone,"DATA PROBLEM",Technical,Resolved,1.40,NULL,No,No
INT-552983,NXT-113473,2024-07-16,"Live Chat","Technical Problem",Technical,Resolved,4.00,73.00,No,Yes
INT-547498,NXT-112037,2025-05-08,"Live Chat","Technical Problem",Technical,Resolved,0.50,100.00,No,No
INT-506947,NXT-101735,2025-10-14,Phone,"Technical Problem",Technical,Escalated,5.70,44.00,NULL,No
INT-523909,NXT-106026,2024-03-11,App,"Data Problem",Technical,Resolved,6.00,34.00,No,No
INT-510966,NXT-102760,2023-10-20,Phone,"Cancellation Request",Retention,Escalated,8.90,22.00,NULL,No
INT-550457,NXT-112822,2024-03-12,App,"Service Activation",Account,Resolved,2.20,95.00,No,No
INT-556465,NXT-114371,2024-03-30,Store,"Network Problem",Network,Resolved,4.90,72.00,No,Yes
INT-503467,NXT-100882,2023-08-08,"Social Media","Service Activation",Account,Unresolved,37.90,40.00,No,NO
INT-544314,NXT-111228,2025-02-04,App,"Account Issue",Account,Resolved,0.80,54.00,No,No
